word,total_quantity
на,5151
в,5559
и,3370
ли,2907
есть,2792
кто,2762
с,2340
по,2374
привет,1632
как,2662
всем,1316
у,1795
подскажите,1027
если,1137
можно,1292
пожалуйста,994
не,1455
что,1284
может,858
или,1003
из,738
анон,406
для,660
здравствуйте,493
кого,515
за,688
направление,249
а,683
ктото,260
про,402
ктонибудь,583
добрый,384
к,611
день,420
расскажите,409
сколько,367
какие,357
учится,317
ребят,804
я,549
то,334
будет,480
хочу,256
технологии,240
проходит,254
знает,461
помочь,286
поступать,335
вопрос,390
тут,378
те,207
курса,263
после,355
где,498
академ,214
это,326
курс,394
когда,514
рассказать,274
вас,312
бы,252
можете,251
о,440
курсе,266
поступить,241
этом,303
экзамен,498
ребята,419
вам,341
обучение,183
проходят,126
возможно,192
бюджет,234
узнать,246
доброго,169
стоит,243
политехе,215
году,250
перевестись,272
обучения,199
получить,265
вы,242
которые,204
вообще,266
вступительные,127
вуза,210
политех,181
направления,177
меня,239
уже,279
могут,152
информационные,147
вузе,316
времени,204
но,273
учиться,222
там,219
сложно,178
дизайн,109
общежитие,264
же,119
общаге,231
при,241
магистратуру,154
общественностью,82
другого,126
от,266
сейчас,217
все,250
общагу,301
до,225
анонимно,162
группы,151
только,167
был,131
системы,149
нибудь,208
физре,131
время,177
направлении,126
связи,97
чтобы,219
специальности,133
факультет,160
дела,185
вуз,207
реально,160
суток,133
поступаю,53
управление,82
магистратуре,90
поступил,140
закрыть,63
нет,218
беседа,61
взять,99
скажите,235
какой,199
об,139
принимает,639
поводу,113
пары,91
общаги,205
лучше,149
каких,108
управления,48
вопросы,89
нас,183
общежитии,140
пд,124
сессии,149
люди,158
без,124
насколько,103
во,145
обычно,75
семестр,147
нужно,243
диплома,71
планирую,81
баллов,87
экзамены,115
расписание,124
дело,114
направлению,79
первого,97
их,36
хотелось,85
такой,149
общежития,141
сдавал,118
делать,181
заочке,57
возможность,110
пересдачи,98
какое,119
сдать,140
семестра,84
кому,136
каком,103
здесь,132
так,184
тебя,72
стипендию,126
факультета,87
диплом,102
учатся,50
другое,49
этот,88
переводился,59
подсказать,81
перевода,68
ты,126
сентября,38
студентов,117
со,193
приветствую,57
год,101
специальность,96
очно,29
когото,52
занятия,66
всего,74
пересдача,92
университете,87
реклама,51
сделать,127
дают,91
куда,181
рекламу,29
этой,45
место,70
всех,78
опыт,66
вопросов,84
политеха,130
года,123
хотела,31
сюда,60
рассматриваю,48
выбрать,61
были,70
предмету,63
другой,95
обстоят,111
будут,154
почему,104
физру,59
первом,93
причине,13
когонибудь,160
пж,19
дня,24
учебу,67
документы,120
технологий,59
информатика,95
сказать,82
найти,135
пройти,62
информационных,61
могу,113
семестре,48
истории,73
сайте,71
уйти,26
тех,54
дистанционно,58
заявление,122
думаю,38
обучении,20
перевод,46
второй,85
места,28
работать,54
производства,30
оно,20
никто,122
студенты,113
быть,95
была,69
правда,57
очень,101
графический,30
какая,105
бизнесом,18
пересдачу,98
работы,91
она,57
раз,73
они,80
мест,52
академа,22
надо,107
направлениях,11
этого,98
происходит,74
форме,17
один,78
целом,37
хотел,61
безопасность,60
баллы,24
дадут,36
поможет,43
поступал,53
вариант,21
лекции,25
написать,55
переводиться,47
повышенной,16
комфортности,17
того,65
одного,51
лабы,46
много,93
рекламы,31
заочку,60
первокурсников,18
онлайн,38
ещ,99
магистратуры,53
индустрии,34
корпусе,52
сессия,72
очнозаочное,24
он,80
баллами,51
собираюсь,97
именно,29
факультете,61
через,78
компьютерной,31
экзаменов,23
комиссии,59
группа,25
заочное,24
другую,71
инженерия,9
было,93
между,34
поделиться,19
часто,17
чтото,56
интеллектуальные,9
мне,155
какието,59
шансы,36
справку,85
поступления,60
корпусах,9
прикладная,34
своих,9
больше,74
комнате,38
стипендия,154
спросить,9
брать,16
математике,54
игровой,32
испытания,28
обеспечение,43
работает,82
преподавателей,22
получения,26
недели,9
ходить,60
да,45
договориться,22
зачет,90
универе,125
социальную,16
пересдач,34
издательское,73
друзья,31
мультимедиа,22
вступительным,32
университета,50
такое,66
преподы,24
очнозаочной,8
очное,14
ивт,8
проекта,24
учился,30
программная,8
попасть,59
обработки,34
комнаты,45
сразу,61
снимать,8
месяц,39
поступивших,14
подать,59
тем,53
систем,72
направлений,8
основном,8
еще,90
предметы,27
вебтехнологии,46
товарищи,29
студентам,29
безопасности,15
учба,15
данные,29
вступительных,45
совмещать,21
практику,37
данном,14
сдавать,94
дизайне,37
программное,34
кем,30
курсовую,15
комиссия,16
втором,30
разница,8
шарит,65
находил,75
вс,49
посмотреть,47
людей,23
вузов,14
предметов,17
предмет,25
пару,45
долгов,25
системная,7
несколько,56
материалов,21
выйти,7
примерно,50
заселение,7
пересдать,35
красного,7
какого,141
справки,79
строительство,27
буду,29
издательского,27
данный,22
рекламе,17
отпуск,44
номер,40
эту,16
экономика,13
прошлом,41
информационной,20
них,23
срочно,55
ее,32
какую,47
колледжа,17
данных,27
практика,41
ваш,115
егэ,57
потом,50
программы,14
институте,7
сдал,32
этих,22
магистры,13
теперь,41
оценки,24
интересует,32
брал,25
обратиться,39
препод,22
университет,29
народ,117
чем,67
клуб,23
пк,58
комиссию,13
курсы,59
форма,6
менеджмент,15
бакалавриат,21
под,13
вечер,29
графика,6
себе,19
посвят,6
поступает,6
отчислили,23
такая,19
разницы,6
спортивные,28
пар,12
студенческий,14
неделю,17
го,45
заочно,6
задать,12
программе,29
вероятность,6
течение,6
шанс,53
его,89
изза,67
общага,137
ни,56
комнату,71
вот,46
хотя,14
сможет,25
него,34
московский,26
просто,61
который,42
тд,45
физике,58
каким,42
программирования,21
хорошо,33
дизайна,19
группу,74
холодильник,42
связаться,10
числа,111
фит,10
пряниках,28
зачт,106
сессию,89
ну,37
ответы,37
дней,30
работу,72
помощь,118
учусь,52
сегодня,30
интересно,37
эти,9
первый,73
том,49
машиностроения,18
проект,19
остались,50
чат,9
автозаводской,36
писал,8
человек,32
учебе,36
нашем,49
математику,16
ней,29
технических,22
курсов,23
автазе,8
получил,14
отчислении,15
тоже,40
связь,15
перевожусь,8
веб,24
норм,17
примеры,8
графики,19
мы,90
медиаиндустрии,8
большой,14
информации,22
николаевич,13
както,41
внутри,7
математика,32
результаты,7
хотят,7
варианты,7
пересдаче,38
упаковочного,14
знаете,7
учат,23
практики,13
официально,7
жить,15
учеба,23
требуют,7
лет,39
среди,16
формате,7
пойти,13
самое,13
предметам,7
исит,7
переводе,22
играет,7
подавать,49
платки,7
автоматизированных,7
продат,21
диаспора,7
разницу,19
млта,6
набебина,6
работ,6
учебы,19
аспирантуру,6
математики,6
имея,6
легко,13
летом,48
язык,31
поступлении,44
момент,20
работе,6
экзамена,14
стало,6
русскому,12
каждый,15
системах,13
деятельности,15
техника,39
ждать,6
чего,13
набор,6
ходил,19
месяца,24
форму,6
основы,20
спокойно,6
рассматривают,6
жизнь,13
своей,12
господа,19
мпу,6
первой,37
дорогие,6
it,28
заочники,6
более,26
че,13
хочет,20
беседу,6
сильно,21
вопросом,6
одной,42
смысл,12
весь,6
приказы,6
корпус,12
потому,6
информатику,27
тест,15
граф,6
средства,49
московского,6
лк,6
билеты,32
большие,26
подал,6
сапр,13
попал,6
теории,5
отчисляют,48
комната,36
немного,20
хочешь,27
секция,28
отлично,26
б,13
нужна,64
идти,71
вашем,28
экзамене,28
вшэ,11
стипендии,61
е,25
такие,50
деятельность,9
других,30
открытые,17
долги,8
помогите,43
студент,29
биотехнологии,26
заселиться,26
туда,15
ситуация,8
kтo,8
журналистики,8
второго,13
задания,7
разработка,7
отчисления,16
какиенибудь,16
пропуск,26
получать,13
причины,7
окончания,7
чтоб,7
графике,7
которых,13
тмм,30
универа,40
нужны,42
поделитесь,13
сам,13
участие,7
регистрация,7
пoмoчь,7
бюджетных,14
посоветуете,6
график,13
проектирование,6
вкр,6
делал,6
процесс,16
госы,6
два,44
программа,20
команда,18
свой,27
человека,6
подробнее,12
гдето,6
учишься,15
платят,23
балл,12
количество,12
поменять,13
зал,14
студентом,6
поэтому,13
занимается,15
универ,47
обязательно,22
переселиться,6
поступление,12
магу,15
мероприятие,6
парке,6
аттракционов,6
бжд,6
писать,34
программу,6
купить,14
получается,6
насчт,6
сдачи,6
преподаватели,20
нужен,28
информационная,6
института,6
пo,6
информатике,45
забрать,41
термех,30
другие,29
философии,22
отчисление,33
мат,41
информация,21
проходить,27
справка,18
перейти,10
машин,19
экономике,27
квартиру,10
красный,17
документов,17
преподавателя,18
консультацию,9
физика,20
химии,21
гидравлике,18
скидку,18
другом,9
учебный,23
отчислиться,8
следующем,8
комунибудь,14
бюджете,8
электротехнике,24
прикладной,25
детали,16
ps,16
желательно,8
инфа,8
этим,8
летней,8
сих,8
пор,8
влияет,8
разбирается,15
плиз,15
написано,14
дипломе,8
ответить,15
информацию,8
живт,8
транспортные,17
будем,7
материальная,7
отсрочку,7
плохо,7
экзаменам,22
пишут,7
числах,24
нормально,7
заочников,7
учебного,13
наших,15
лучших,15
исполнителя,14
окажут,14
любую,14
скажи,14
долгам,14
idрадей,14
грин,14
idсопромат,14
техмех,14
idматвей,14
знатоков,14
idматематика,14
строймех,14
помогаем,14
механике,16
тоэ,15
различным,14
языкам,14
вступи,14
получи,14
clubhelpik,14
вступил,14
английский,7
сооружений,7
полтора,7
технологиях,7
заселения,27
списки,34
восстановление,7
следующий,7
оплату,7
общагах,15
пришла,24
деньги,21
вычислительная,23
машиностроение,18
подготовки,10
ребятки,18
повышенную,23
заселяют,23
заселили,19
какойто,22
почту,8
карантин,8
действительно,8
оплатить,8
магистратура,8
стипуха,8
задачи,8
отчислить,20
программирование,8
полиграфического,8
никак,7
решить,7
девушки,14
даты,7
языка,7
думаете,7
кафедра,7
отчислят,7
карантина,7
москвы,7
карту,41
журналистику,7
деле,19
очнозаочников,7
киберфизические,7
технология,7
физра,6
платного,6
строго,6
обращаться,12
вовремя,6
ситуации,6
позже,6
бюджета,6
оплачивать,6
период,6
стать,6
студенту,6
английского,6
физры,23
каникулы,16
ав,6
ищу,6
мгуп,53
списать,25
тяжело,19
история,20
условия,11
владимировна,16
вторую,10
учимся,16
восстановиться,9
физкультуре,9
прикладную,9
электронные,9
ка,35
ноября,9
потерял,21
например,8
заявления,8
раньше,8
академический,8
отзовитесь,8
владимирович,19
летия,14
типа,14
быстро,7
мало,7
физику,7
самом,7
выпускники,7
начинается,15
кафедры,13
формы,7
дотация,7
новый,7
закрыл,7
кабинете,18
ю,7
зимней,7
бесплатный,7
проходил,7
августа,7
преподаватель,6
болезни,6
доки,6
прохожу,6
собственному,6
желанию,6
платить,6
понять,6
метро,6
вместо,6
бассейн,6
й,6
приходит,6
понимаю,6
самые,6
долг,6
секцию,6
свои,6
личном,13
нашего,14
наземные,6
провести,6
очки,6
начинаются,14
заниматься,6
москве,24
образование,21
кампусную,13
собрании,13
мами,12
россии,12
презентаций,12
группе,12
матпомощь,11
аудитории,11
девочки,11
сергей,10
рубежом,10
университетов,10
нести,10
собрание,10
посвящение,10
секции,9
мгупа,9
вчера,9
зале,9
мгупе,9
завтра,9
финансирования,9
какому,9
находится,9
карты,9
зачислении,9
занятий,8
субботу,8
студак,8
ходит,8
оплаты,8
мира,8
дальше,8
соц,8
елена,8
максим,8
очнозаочном,8
продает,8
самостоятельно,8
первокурсники,8
ничего,7
иидиж,7
приходить,7
знаю,7
сопромат,7
высшее,7
educationusa,7
сша,7
издательском,7
дотацию,7
тройку,7
сказали,7
информатики,7
прийти,7
поздняков,7
ке,7
снилс,7
подъезд,6
адресу,6
говорят,6
татьяна,6
должны,6
николай,6
изучать,6
платников,6
сопромату,6
марта,6
имя,6
даже,6
возможностях,6
часов,6
ему,6
дни,6
автозаводе,6
границей,6
нами,6
преподов,6
заплатить,6
подписку,6
apple,6
music,6
отдел,6
очнозаочного,6
одолжить,6
кампусной,6
электрозаводской,6
отделения,6
внимание,6
карта,6
записаться,6
проектной,6
печати,6
прянишникова,6
